Meal,Words,n
Breakfast,skim milk,13
Breakfast,green tea,6
Breakfast,greek yogurt,13
Breakfast,fresh strawberries,5
Breakfast,grain toast,38
Breakfast,black coffee,15
Breakfast,herbal tea,15
Breakfast,low-fat greek,13
Breakfast,scrambled egg,20
Breakfast,egg whites,18
Breakfast,sliced avocado,1
Breakfast,cooking spray,19
Breakfast,low-fat cooking,19
Breakfast,sliced banana,2
Breakfast,sliced tomato,1
Breakfast,orange juice,2
Breakfast,fresh mixed,18
Breakfast,mixed berries,18
Breakfast,fresh berries,5
Breakfast,fresh blueberries,6
Breakfast,whole grain,41
Breakfast,grain cereal,3
Breakfast,small banana,2
Breakfast,whole wheat,1
Breakfast,wheat toast,1
Breakfast,fresh grapefruit,2
Breakfast,sliced strawberries,1
Breakfast,fresh orange,6
Breakfast,small apple,1
Breakfast,small orange,2
Breakfast,almond butter,11
Breakfast,medium banana,1
Breakfast,low-fat cream,18
Breakfast,cream cheese,18
Breakfast,medium orange,1
