word1,word2,n
mixed,green(s),61
olive,oil,45
whole,grain,44
balsamic,vinegar,44
cherry,tomatoes,42
chicken,breast,41
grilled,chicken,39
side,salad,37
whole,wheat,30
sliced,turkey,26
turkey,breast,26
brown,rice,26
skim(med),milk,25
steamed,broccoli,25
greek,yogurt,24
carrot,sticks,23
baked,fish,19
cooked,brown,18
grain,toast,17
cucumber,slices,17
grain,bread,16
green,tea,16
lemon,juice,16
sliced,cucumber,16
turkey,sandwich,15
dry,oats,14
low-fat,greek,12
black,coffee,12
herbal,tea,12
bell,peppers,12
grain,cereal,11
chicken,salad,11
green(s),salad,11
wheat,tortilla,11
steamed,fish,11
low-fat,cottage,10
cottage,cheese,10
ground,flaxseed,10
wheat,bread,10
vegetable,wrap,9
spinach,leaves,9
steamed,asparagus,9
sliced,bell,9
fresh,strawberries,8
scrambled,egg(s),8
fresh,berries,8
steamed,green,8
green,beans,8
strawberry,slices(d),8
egg whites,whites,7
turkey,wrap,7
wheat,pita,6
pita,bread,6
mixed,vegetables,6
fresh,mixed,5
mixed berries,berries,5
sliced,banana,5
fresh,blueberries,5
small,side,4
steamed,mixed,4
grilled,vegetable(s),3
baby,carrots,3
wheat,crackers,3
white,fish,3
non-fat,greek,2
vegetable,soup,2
baked,salmon,2
baked,chicken,2
sweet,potato,2
light,cream,1
cream,cheese,1
large,eggs,1
almond,butter,1
low-fat,dressing,1
quinoa,salad,1
cooked,quinoa,1
diced,tomatoes,1
chopped,bell,1
cucumber,sticks,1
wheat,wrap,1
low-fat,yogurt,1
salad,sandwich,1
hummus,wrap,1
tofu,stir-fry,1
soy,sauce,1
balsamic,vinaigrette,1
grilled,fish,1
baked,cod,1
steamed,vegetables,1
baked,tilapia,1
